Agency,ContactEmail,ContactName,ContactPhone,CustomId,ProjectNumber,ProjectType,additional_information,award_description,awarded_to,contract_amount,published_date,sub_contract_award
"Fisheries and Wildlife, Division of (DFW)1 Rabbit Hill Rd.Westborough, MA 01581",Do not notify email address listed when final publish date assigned.,Lori Cookman,508-389-6300,CAN1/11/20161/20/201600004,DFW-2016-021,General Contract , ,"Treatment to consist of mowing/mulching of scrub oak, dense immature pitch pine and white pine and mature white pine using a tracked machine with a forestry mulching attachment at the Camp Cachalot WCE and Southeast Pine Barrens WMA in Plymouth.","T.R. Landworks36 Kensington Acres Rd.East Hartland, CT 06027","$138,660.80", 1/13/2016, 
"Fisheries and Wildlife, Division of (DFW)Department of Fish and Game1 Rabbit Hill Rd.Westborough, MA 01581",Do not notify email address listed when final publish date assigned.,Lori Cookman,508-389-6300,CAN1/11/20161/20/201600005,DFW-2016-018,General Contract , ,"Electrical repairs at the Northeast District Office located in Ayer including replacement of electric panels, relocation of existing circuits and conversion of existing switches.","Hub Electric, Inc.10 Draper St. Suite 19Woburn, MA 01801","$17,000", 1/13/2016, 
"Nantucket, Town ofMemorial Airport Commission14 Airport Rd.Nantucket, MA 02554",Notify email address listed when final publish date assigned.,Janine Torres,508-325-5303,CAN1/11/20161/20/201600006, ,General Contract , ,Airport Terminal Arrivals Vestibule Repair:  Replace wall board and trim on all four walls damaged during sprinkler system pipe burst as well as repair motor unit in wall heater.,"Maron Construction Co., Inc.180 Buttonhole DriveProvidence, RI 02940","$39,986", 1/13/2016, 
"Newton, City of 1000 Commonwealth Ave.Newton, MA 02459",Do not notify email address listed when final publish date assigned.,Nick Read,617-796-1220,CAN1/11/20161/20/201600007,16-25,General Contract , ,"Annual Repair, Installation and Furnishing of Carpet Service.","Pavilion Floors, Inc.90 Commerce WayWoburn, MA 01801","$204,237.50", 1/13/2016, 
"Quincy, City ofHousing Authority15 Bicknell St.Quincy, MA 02169",Notify email address listed when final publish date assigned.,Houda Shuman,617-847-4378 ext. 200,CAN1/11/20161/20/201600008,2015-26,  , ,"Elevator Maintenance and Repair Service for the Elevators at Tobin, Sawyer, O'Brien, Pagnano Towers and Drohan Apartments for two years.","United Elevator Co., Inc.195 Libbey Industrial Parkway Unit 3Weymouth, MA 02189","$39,000/Year", 1/13/2016, 
"Worcester, City ofAbby Kelley Foster Charter Public School (AKFCPS)6 New Bond St.Worcester, MA 01606",Do not notify email address listed when final publish date assigned.,"Paul Kalous, OPM, Hill International",617-778-0900,CAN1/11/20161/20/201600009,AKFCPS 2015,Designer Services , ,"Fit-out Expansion of Warehouse Space for Abby Kelley Foster Charter Public School, 6 New Bond St., Worcester (DSB List #15-06, Item #3).","Kuhn Riddle Architects, Inc.28 Amity St. Suite 2BAmherst, MA 01002","$2,900,000 (7.7% of ECC)", 1/13/2016, 
"Andover, Town of36 Bartlet St.Andover, MA 01810",Notify email address listed when final publish date assigned.,"Thomas P. Watkins, Purchasing Agnet",978-623-7216,CAN1/11/20161/20/201600010,017/10-15/185,General Contract , ,Doherty School Glass Replacement.,"EaglePoint Builders, Inc.54 Burnham St.Belmont, MA 02478","$70,250", 1/20/2016, 
"Andover, Town of36 Bartlet St.Andover, MA 01810",Notify email address listed when final publish date assigned.,"Thomas P. Watkins, Purchasing Agent",978-623-8216,CAN1/11/20161/20/201600011,014/10-15/185,General Contract , ,"Exterior Masonry Wall Repairs Project at Doherty Middle School, Andover.","Build Max, Inc.52 Eagle DriveDudley, MA 01571","$25,000", 1/20/2016, 
"Andover, Town of36 Bartlet St.Andover, MA 01810",Notify email address listed when final publish date assigned.,"Thomas P. Watkins, Purchasing Agent",978-623-8216,CAN1/11/20161/20/201600012,013/10-15/185,General Contract , ,"Exterior Masonry Waterproofing Project, Phase 2 at the Wood Hill Middle School, Andover.","Calhess Restoration & Weatherproofing Corp. 405 Columbia Rd.Dorchester, MA 02125","$42,000", 1/20/2016, 
"Andover, Town of36 Bartlet St.Andover, MA 01810",Notify email address listed when final publish date assigned.,"Thomas P. Watkins, Purchasing Agent",978-623-8216,CAN1/11/20161/20/201600013,008/09-15/185,General Contract , ,On-call Masonry Repairs and Maintenance Services for the Town of Andover.,"B.M.R. Contracting, Inc., 946 Great Plain Ave. Suite 242, Needham, MA 02492; MJS Construction Inc., 20 Del Carmine St. Suite 103, Wakefield, MA 01880; Build Max Inc., 52 Eagle Drive, Dudley, MA 01571.",Various Unit Prices, 1/20/2016, 
"Boston, City of Public Facilities Department26 Court St. 10th FloorBoston, MA 02108",Do not notify email address listed when final publish date assigned.,Patricia Lyons,617-635-4814,CAN1/11/20161/20/201600014,7071 Category #15,Designer Services , ,FY'2016 - FY'2018 House Doctor Consulting Services:  Provide Building Code Consulting Services on an as-needed basis.,"Robert W. Sullivan, Inc.529 Main St.Boston, MA 02129","$900,000", 1/20/2016, 
"Boston, City of Public Facilities Department26 Court St. 10th FloorBoston, MA 02108",Do not notify email address listed when final publish date assigned.,Patricia Lyons,617-635-4814,CAN1/11/20161/20/201600015,7071,Designer Services , ,FY'2016 - FY'2018 House Doctor Consulting Services:  Provide House Doctor Consulting Services on an as needed basis.,"Pressley, Inc.135-136 Lewis WharfBoston, MA 02110","$900,000", 1/20/2016, 
"Boston, City of Public Facilities Department26 Court St. 10th FloorBoston, MA 02108",Do not notify email address listed when final publish date assigned.,Patricia Lyons,617-635-4814,CAN1/11/20161/20/201600016,7071 Category #6,Designer Services , ,FY'2016 - FY'2018 House Doctor Consulting Services:  Provide Mechanical/Electrical/Plumbing and Fire Protection Engineering Consulting Services on an as-needed basis.,"Robert W. Sullivan, Inc.529 Main St.Boston, MA 02129","$900,000", 1/20/2016, 
"Cambridge, City ofHousing Authority362 Green St.Cambridge, MA 02139",Notify email address listed when final publish date assigned.,Billye R. Thomas,617-520-6256,CAN1/11/20161/20/201600017,DHCD Project #049132,General Contract , ,"Kitchen and Bath Modernization at Hammond Street (689-1), Aberdeen House (689-2) and Woodbridge Street (167-2).","Alpha Contracting Associates, Inc.20 Mulberry LaneDedham, MA 02026","$367,687", 1/20/2016,"Tile:  Bonomo Tile Co., Inc.; Plumbing:  Kneeland Plumbing & Heating, Inc.; Electrical:  Sanibel Electrical Corp."
"Cambridge, City ofHousing Authority (CHA)Purchasing Department362 Green St. 3rd FloorCambridge, MA 02139",Notify email address listed when final publish date assigned.,Donna Gallant,617-520-6220,CAN1/11/20161/20/201600018, ,Real Property , ,"Cambridge Housing Authority is seeking Offeror(s) for specific roof rights at Millers River, a 19-story high-rise in East Cambridge and Roosevelt Towers, an eight-story mid-rise in the Harrington-Wellington area.  Current average rental is $18/Month.  Term of contract will be for ten years with two renewable five-year terms at the sole discretion of the CHA.  Antenna will be surface mounted.  CHA is providing rooftop rights to the vendor.  The Offeror will provide free internet access to Site Managers and discounted internet rates to Site Residents.","netBlazr, Inc.218 Lincoln St.Allston, MA 02134",$0, 1/20/2016, 
"Fitchburg, City of166 Boulder DriveFitchburg, MA 01420",Notify email address listed when final publish date assigned.,Christopher Bradley,978.829.1850,CAN1/11/20161/20/201600019, ,General Contract , ,"Plumbing Services, Maintenance and Repairs for the School System.","Max Pipe, Inc.464 Burncoat St.Worcester, MA 01606","NTE $30,000", 1/20/2016, 
"Fitchburg, City of 166 Boulder DriveFitchburg, MA 01420",Notify email address listed when final publish date assigned.,Christopher Bradley,978-829-1850,CAN1/11/20161/20/201600020, ,General Contract , ,"Electrical Services, Maintenance and Repairs.","Lantern Light & Electric11 Oakview CircleMedway, MA 02053","NTE $30,000", 1/20/2016, 
"Fitchburg, City of 166 Boulder DriveFitchburg, MA 01420",Notify email address listed when final publish date assigned.,Christopher Bradley,978-829-1850,CAN1/11/20161/20/201600021, ,Designer Services , ,"HVAC Services, Maintenance and Repairs for the School System.","M.P.S. Services, Inc.14 Deborah DriveSutton, MA 01590","NTE $30,000", 1/20/2016, 
"Montachusett Regional Vocational Technical School District1050 Westminster St.Fitchburg, MA 01420",Notify email address listed when final publish date assigned.,Tammy Crockett,978-345-9200 ext. 5212,CAN1/11/20161/20/201600022,2016-02,General Contract , ,Installation of new Resilient Sports Floor in the school gymnasium.,"Athletic Surfaces, Inc.91 Fayerweather St. Unit 1Cambridge, MA 02138","$123,131", 1/20/2016, 
"Montachusett Regional Vocational Technical School District1050 Westminster St.Fitchburg, MA 01420",Notify email address listed when final publish date assigned.,Tammy Crockett,978-345-9200 ext. 5212,CAN1/11/20161/20/201600023,2016-04,General Contract , ,Removal of old curtain wall and installation of new curtain wall in the gymnasium.,"C.B. Seating, Inc.36 Canal St. Suite 290Somersworth, NH 03878","$12,000", 1/20/2016, 
"Newton, City of 1000 Commonwealth Ave.Newton, MA 02459",Do not notify email address listed when final publish date assigned.,Nick Read,617-796-1220,CAN1/11/20161/20/201600024,16-27,General Contract , ,Annual Interior and Exterior Painting Service Contract.,"Homer Contracting, Inc.195 BroadwayArlington, MA 02474","$214,150", 1/20/2016, 
"Stoneham School Committee149 Franklin StreetStoneham, MA 02180",Notify email address listed when final publish date assigned.,Dr. Les Olson,781-279-3802,CAN1/11/20161/20/201600025,DSB 01,Designer Services , ,Boiler installation at Stoneham High School:: Installation of modular gas-fired condensing hydronic boilers to replace original cast iron sectional boilers.,"R.D.K. Engineers  200 Brickstone Square #201Andover, MA 01810","$21,500", 1/20/2016, 
"Worcester State University486 Chandler St.Worcester, MA 01602",Notify email address listed when final publish date assigned.,Nicole LeBlanc,508-929-8570,CAN1/11/20161/20/201600026,16-16 Boiler PM & Repair,Designer Services , ,"Qualified technicians to provide boiler preventative maintenance, inspection and repair on an as-needed basis for Worcester State University.","Energy Construction Services76 Webster St.Worcester, MA 01603",Various Unit Prices, 1/20/2016, 
"Worcester State University486 Chandler St.Worcester, MA 01602",Do not notify email address listed when final publish date assigned.,Nicole LeBlanc,508-929-8570,CAN1/11/20161/20/201600027,16-07,General Contract , ,"Services of competent, qualified HVAC Technicians to provide PM and Repairs as-needed for Worcester State University.","Veterans Development Corp., Inc., 523 Great Rd., Littleton, MA 01460; Renaud HVAC & Controls, Inc., 18 Providence Rd., Sutton, MA 01590.",Various Unit Prices, 1/20/2016, 
"Boston, City ofHousing Authority (BHA)52 Chauncy St.Boston, MA 02111",Do not notify email address listed when final publish date assigned.,Ben Liang,617-988-4038,CAN1/21/20161/31/201600000,1152-01,Designer Services , ,BHA seeks proposals from designers to provide engineering services for Check Valve Replacement at Commonwealth Development.,"MacRitchie Engineering, Inc.  197 Quincy Ave.Braintree, MA 02184","$19,050", 1/27/2016, 
"Boston, City ofPublic SchoolsFacilities Management1216 Dorchester Ave.Dorchester, MA 02125",Notify email address listed when final publish date assigned.,Laura Junior,617-635-9125,CAN1/21/20161/31/201600001, ,General Contract , ,"New Student Lockers, Phase 1 at the Lydon K-8 School.","J. Sallese & Sons, Inc.5 Crescent Ave. Unit 12Woburn, MA 01801","$42,450", 1/27/2016, 
"Boston, City of Public Facilities Department26 Court St. 10th FloorBoston, MA 02108",Do not notify email address listed when final publish date assigned.,Evan Brinkman,617-635-0528,CAN1/21/20161/31/201600002,7070 Category #3,Designer Services , ,FY'2016 - FY'2018 Design Review Consulting Services:  Provide Green Building Technology/Sustainability Review services on an as-needed basis.,"Emersion Design, Inc.711 Atlantic Ave.Boston, MA 02111","$50,000", 1/27/2016, 
"Boston, City of Public Facilities Department 26 Court St.Boston, MA 02108",Do not notify email address listed when final publish date assigned.,Ken MacDonald,617-635-4807,CAN1/21/20161/31/201600003,7021,General Contract , ,Chapel Renovations and New Garage at Fairview Cemetery.,"J. & J. Contractors 101 Billerica Ave. Building 5 Suite 205Billerica, MA 01862","$1,107,000", 1/27/2016, 
"Brockton, City of43 Crescent St.Brockton, MA 02301",Do not notify email address listed when final publish date assigned.,Ken Thompson,508-580-7299,CAN1/21/20161/31/201600004,1680-0021 #2,Designer Services , ,FY'2016 Refrigeration and Air Conditioning On-call Services.,"Mechanical Air Controls, Inc.541 Plain St.Marshfield, MA 02050",$84/Hour, 1/27/2016, 
"Fitchburg, City of166 Boulder DriveFitchburg, MA 01420",Notify email address listed when final publish date assigned.,Christopher Bradley,978-829-1850,CAN1/21/20161/31/201600005, ,General Contract , ,Repair of Grandstand at Crocker Field.,"R. Bates & Sons, Inc.153 Clinton Rd.Sterling, MA 01564","$49,000", 1/27/2016, 
"Newton, City of 1000 Commonwealth Ave.Newton, MA 02459",Do not notify email address listed when final publish date assigned.,Nick Read,617-796-1220,CAN1/21/20161/31/201600006,16-25,Designer Services , ,"Annual Repair, Installation and Furnishing of Carpet.","West Floor Covering, Inc.42 Winter St. Suite 11Pembroke, MA 02359","$196,500", 1/27/2016, 
"Port Authority, MassachusettsCapital Programs DepartmentOne Harborside DriveEast Boston, MA 02128",Notify email address listed when final publish date assigned.,Luciana Burdi,617-568-5950,CAN1/21/20161/31/201600007,AP1602-C1,General Contract , ,"FY'16 - FY'18 Insulation Term Contract at Logan International Airport, East Boston.","Axion Specialty Contracting, LLC10 Lincoln Rd.Foxboro, MA 02035","$86,757", 1/27/2016, 
"Southeastern Regional Services Group6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600008, ,General Contract , ,"Bonded Wearing Course on an as-needed basis for the Towns of Easton, Norton and Raynham, 2/1/16 - 1/31/17.","All States Asphalt, Inc.P.O. Box 91Sunderland, MA 01375","$349,200", 1/27/2016, 
"Southeastern Regional Services Group6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600009, ,General Contract , ,"CAT Excavator Services with foreman and crew on an as-needed basis for the Towns of Canton, East Bridgewater, Easton, Foxborough and Norton, 2/1/16 - 1/31/17.","R.J. Gabriel Construction Co., Inc.785 Bedford St.Bridgewater, MA 02324","$73,600", 1/27/2016, 
"Southeastern Regional Services Group6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600010, ,General Contract , ,"Catch Basins cleaned on an as-needed basis for the City of Taunton and Towns of Abington, Canton, East Bridgewater, Foxborough, Mansfield, Plainville, Raynham, Sharon, West Bridgewater and Wrentham, 2/1/16 - 1/31/17.","R.J. Gabriel Construction Co., Inc.785 Bedford St.Bridgewater, MA 02324","$185,006", 1/27/2016, 
"Southeastern Regional Services Group6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600011, ,General Contract , ,"Grad-all Services on an as-needed basis for the Towns of Bridgewater, Canton, East Bridgewater, Easton and Foxborough, 2/1/16 - 1/31/17.","Capone Brothers, Inc.P.O. Box 716Randolph, MA 02368","$27,216", 1/27/2016, 
"Southeastern Regional Services Group6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600012, ,General Contract , ,"Installation of Sub-drains on an as-needed basis for the Towns of Canton, East Bridgewater, Easton and Foxborough, 2/1/16 - 1/31/17.","R.J. Gabriel Construction Co., Inc.785 Bedford St.Bridgewater, MA 02324","$153,670", 1/27/2016, 
"Southeastern Regional Services Group6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600013, ,General Contract , ,"Loam, Compost and Gravel Screening on an as-needed basis for the Towns of Abington, Canton, East Bridgewater, Easton, Foxborough, North Attleborough, Norton and West Bridgewater, 2/1/16 - 1/31/17.","Capone Brothers, Inc.P.O. Box 716Randolph, MA 02368","$60,450", 1/27/2016, 
"Southeastern Regional Services Group6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600014, ,General Contract , ,"Medium Class Excavator Services on an as-needed basis for the Towns of Canton, East Bridgewater, Easton and Foxborough, 2/1/16 - 1/31/17.","R.J. Gabriel Construction Co., Inc.785 Bedford St.Bridgewater, MA 02324","$17,920", 1/27/2016, 
"Southeastern Regional Services Group6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600015, ,General Contract , ,"Tub Grinding on an as-needed basis for the Towns of Abington, Canton, East Bridgewater, Easton, Foxborough, Mansfield, North Attleborough, Norton, Plainville, Raynham, Sharon and West Bridgewater, 2/1/16 - 1/31/17.","Wicklow Wood27 Ash St.Northbridge, MA 01534","$128,800", 1/27/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600016, ,General Contract , ,"Cape Sealing on an as-needed basis for the Towns of Foxborough and Norton, 2/11/6 - 1/31/17.","Sealcoating, Inc.825 Granite St. Braintree, MA 02184","$329,750", 1/27/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600017, ,General Contract , ,"Chip Seal on an as-needed basis for the Towns of Foxborough and Norton, 2/1/16 - 1/31/17.","All States Asphalt, Inc.P.O. Box 91Sunderland, MA 01375","$52,430", 1/27/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600018, ,General Contract , ,"In-place Bituminous Concrete on an as-needed basis for the Towns of Canton and Plainville, 2/1/16 - 1/31/17.","P.J. Keating Co.72 South Main St.Acushnet, MA 02743","$1,036,820", 1/27/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600019, ,General Contract , ,"Installation of Steel Beam Type SS Guardrails on an as-needed basis for the City of Taunton and Towns of Bridgewater, Canton, East Bridgewater, Easton, Foxborough, Mansfield, Middleborough, Norfolk, Norton, Plainville, Raynham, Sharon, West Bridgewater, 2/1/16 - 1/31/17.","DeLucca Fence Co.Five Old Ferry Rd.Methuen, MA 01844","$227,617.50", 1/27/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600020, ,General Contract , ,"Micropaving on an as-needed basis for the Town of Middleborough, 2/1/16 - 1/31/17.","Sealcoating, Inc.825 Granite St. Braintree, MA 02184","$40,700", 1/27/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600021, ,General Contract , ,"Pavement Reclamation on an as-needed basis for the Town of Canton, 2/1/16 - 1/31/17.","Murray Paving & Reclamation55 Whitney St.Holliston, MA 01746","$141,810", 1/27/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600022, ,General Contract , ,"Polymer-modified Crack Sealing on an as-needed basis for the City of Taunton and Towns of Abington, Bridgewater, Canton, Easton, Foxborough, Middleborough, Norfolk, North Attleborough, Norton, Raynham, Stoughton, West Bridgewater and Wrentham for the period of 2/1/16 - 1/31/17.","Crack-Sealing, Inc.P.O. Box 700Raynham, MA 02767","$640,473", 1/27/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600023, ,General Contract , ,"Random Crack Sealing on an as-needed basis for the City of Taunton and Towns of Abington, Canton, Norfolk, Norton, Plainville, Raynham, Stoughton, West Bridgewater and Wrentham for the period of 2/1/16 - 1/31/17.","Crack-Sealing, Inc.P.O. Box 700Raynham, MA 02767","$403,095", 1/27/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600024, ,General Contract , ,"Rubber Chip Sealing on an as-needed basis for the Towns of Foxborough, Norton and Raynham, 2/1/16 - 1/31/17.","All States Asphalt, Inc.P.O. Box 91Sunderland, MA 01375","$483,300", 1/27/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600025, ,General Contract , ,"Sidewalk Construction and Setting of Curbs and Edging on an as-needed basis for the Town of Norfolk, 2/1/16 - 1/31/17.","Capone Brothers, Inc.P.O. Box 716Randolph, MA 02368","$192,750", 1/27/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600026, ,General Contract , ,"Sidewalk Construction and Setting of Curbs and Edging on an as-needed basis for the Towns of Bridgewater, Canton and Stoughton, 2/1/16 - 1/31/17.","L.A.L. Construction Co.P.O. Box 1349Fall River, MA 02722","$420,628.20", 1/27/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN1/21/20161/31/201600027, ,General Contract , ,"Structure Work on an as-needed basis for the Towns of Canton, Easton, Mansfield, Norfolk and Stoughton, 2/1/16 - 1/31/17.","Capone Brothers, Inc.P.O. Box 716Randolph, MA 02368","$187,312.50", 1/27/2016, 
"University of Massachusetts - Amherst140 Hicks Way Room 407Amherst, MA 01003",Notify email address listed when final publish date assigned.,"Peter Royer, Associate Director of Procurement",413-545-0361,CAN1/21/20161/31/201600028,UMAPP16-018,General Contract , ,Campus Hardscape Repairs and Excavation Services.,"Warner Brothers LLC110 North Main St.Sunderland, MA 01375","NTE $1,000,000", 1/27/2016, 
"University of Massachusetts - Amherst140 Hicks Way Room 407Amherst, MA 01003",Notify email address listed when final publish date assigned.,"Peter Royer, Associate Director of Procurement",413-545-0361,CAN1/21/20161/31/201600029,UMA16-04,General Contract , ,Totman Room 161 Renovations.,"Forish Construction Co., Inc.21 Main Line DriveWestfield, MA 01085","$1,465,072", 1/27/2016,"Masonry:  Champlain Masonry, $29,900; Misc. Metals:  Allowance, $65,000; Acoustical Tile:  Central Ceilings, $17,000; Resilient Flooring:  Dimauro Carpet & Tile, Inc., $17,876; Painting:  Keltic Painting, LLC, $21,150; Plumbing:  T.J. Conway Co., $118,200; HVAC:  Adams Plumbing & Heating, $416,700; Electrical:  Zap Electric, Inc., $214,000."
"University of Massachusetts - LowellOne University Ave.Lowell, MA 01854",Notify email address listed when final publish date assigned.,Heather Tziotziouras,978-934-3500,CAN1/21/20161/31/201600030,CL16-HT-0027,General Contract , ,"The Project consists of, but is not limited to, providing painting services to include project management, supervision and labor and material for painting.  The Painting Contractor may be required to coordinate and to work with UMass Lowell’s other contractors/vendors selected for a Master Services Contract in other trades.  The specific scope of work will be negotiated by ""work order"".","Dandis Contracting, Inc., 636 Washington St., Canton, MA 02021; Homer Contracting, Inc., 195 Broadway, Arlington, MA 02474.",Various Unit Prices, 1/27/2016, 
"Westfield, City ofHousing AuthorityP.O. Box 9912 Alice Burke WayWestfield, MA 01086",Do not notify email address listed when final publish date assigned.,Thomas Fanion,413-626-6899,CAN1/21/20161/31/201600031,329060,General Contract , ,"Carport Ceiling Replacement at Washington House, an elderly apartment building.","R.A.C. Builders, Inc.12 School St.Agawam, MA 01001","$295,540", 1/27/2016,"Abide, Inc.; King Painting, Inc.; Lynch Electrical Contractors."
